source,place,comment
GoogleMaps,Alice Springs Desert Park,Great visit to get some insight in the natural wonders and environments surrounding Alice Springs! Nice guides and very interesting talks to listen to and learn about the desert. Go early in the morning and simply follow the talks.
GoogleMaps,Alice Springs Desert Park,Very dedicated and knowledgeable staff and great exhibits. We spent nearly 5 hours there. Food at the cafe also worth trying at reasonable prices.
GoogleMaps,Alice Springs Desert Park,A beautiful place and amazing wildlife. Thank you
GoogleMaps,Alice Springs Desert Park,Alice Springs Desert Park Visited on 7/6/2019 …
GoogleMaps,Alice Springs Desert Park,We had the most amazing day here!!! The back drop itself was stunning. Definitely worth a visit …
GoogleMaps,Alice Springs Desert Park,"A perfect place to visit for families. The scheduled sessions are very informative and useful. A nice staff shew us the native coconut, it's amazing. We looked around for it in Alice Spring and found a good one too. My kid loved it. The …"
GoogleMaps,Alice Springs Desert Park,"As the poster says: you will never look at deserts in the same way again. Very well set up exhibits, interesting wildlife and landscapes. 3 hours wasn't long enough for us."
GoogleMaps,Alice Springs Desert Park,"This park is an absolute highlight for anyone visiting the Alice Springs! The park beautifully showcases the diverse landscapes, plants, and wildlife of the Australian desert. The layout is easy to explore, with well-maintained paths …"
GoogleMaps,Alice Springs Desert Park,"The Nocturnal Tour was absolutely a highlight of my trip to Alice Springs. We saw all 7 of the available species during our tour, including a couple of joeys poking out of pouches. The tour leader was affiable and knowledgeable!"
GoogleMaps,Alice Springs Desert Park,An underrated zoo. They have zoo keeper talks and bird shows through out the day. Not nearly enough tourists which means it’s not at all crowded. Nocturnal tour was also a good experience where you get to see some animals that you typically …
GoogleMaps,Alice Springs Desert Park,"Wonderful experience. Park was clean and well organized. It was very quiet, had most areas to myself. Surrounded by natural beauty. I leaned so much and enjoyed every exhibit and talk I attended. Would absolutely recommend!"
GoogleMaps,Alice Springs Desert Park,An amazing park. The guides were very knowledgeable and the talks were well scheduled to allow us to enjoy them throughout the day. We could have stayed in the bird enclosures all day. …
GoogleMaps,Alice Springs Desert Park,"A great afternoon. Highly recommend attending the talks as they are very informative. The bird show was very special, the birds are so well trained. Of concern are the very small enclosures for the dingo - which looked so bored and the …"
GoogleMaps,Alice Springs Desert Park,"Was a great experience, coming back to this place after 23 years - what a difference! Very interesting park, lots of birds & the Flying Bird Show was great. Was a shame that the dingos were being fed right before or after the Flying Bird Show ended and no dingos were in sight - bad timing!"
GoogleMaps,Alice Springs Desert Park,"Such a lovely place to visit. The bird show is always fantastic, but if you miss it and just wander around the walking tracks it's still so beautiful. There are so many different central desert plants and animals, not to mention the …"
GoogleMaps,Alice Springs Desert Park,For my son and I it was ok. Unfortunately the nocturnal enclosure is closed for renovations so all we really saw were lots of birds and not one lizard. It seems pretty quiet so I was happy to support the park and local tourism through.
GoogleMaps,Alice Springs Desert Park,Great live bird show in the open
GoogleMaps,Alice Springs Desert Park,We had a lovely time here. Lots of birds to see in large averies and the bird show was fabulous. Walking around the park was beautiful and we really enjoyed watching the movie. And the nocturnal display was the best I've seen. I would definetly visit again.
GoogleMaps,Alice Springs Desert Park,Great Park!! I have visited a lot of wildlife attractions but this was different and interesting. Focused on the desert and arid habitats. Movie kind of outdated but animals and plants superb. I am keen birdwatcher and the bird collection …
GoogleMaps,Alice Springs Desert Park,"Excellent wildlife park. Possibly our favourite ever. Spent a long time in the nocturnal house. Walking paths a pleasure to wander around on, authentic central oz landscaping …"
GoogleMaps,Alice Springs Desert Park,"Awesome place! A wonderful bird show! When the eagle and the owl are hovering around you, you will be touched, and there are many rare animals, which are like classes for nature. The fare is really worth the flowers! highly recommended! Suitable for all ages!"
GoogleMaps,Alice Springs Desert Park,Went to donner at the Madigan Restaurant here and OMG was the food sooooo good 🤤 It was sooooo nice I could eat there twice (in one night if I could 😜) the service was amazing. The staff were really friendly. The restaurant makes the next cocktails with local Indigenous foods. I'll definitely go back there. …
GoogleMaps,Alice Springs Desert Park,"The bird show is a must! Amazing how can they train those birds to fly just above your head! Seeing a flying owl is a beautiful moment! Although the heat was nearly unbearable today, we have still enjoyed this place a lot!"
GoogleMaps,Alice Springs Desert Park,"Even as older adults we really enjoyed our visit to the Alice Springs Desert Park. We went to all of the talks from opening to lunch time. Even though you have heard this information before, you always learn something new. The setting is …"
GoogleMaps,Alice Springs Desert Park,Fantastic... Followed a guide around from 8.00 all day..great way to learn... found out what's happening with animal rehab/restock of wild populations
GoogleMaps,Alice Springs Desert Park,Great venue for events. Cool cafe even if some of the ex staff were cooler. But it's all love baby... At least so I'm told... By a little Birdy and a Bat.
GoogleMaps,Alice Springs Desert Park,"We visited Desert Park early in the morning and asked about the time of the bird show. Since it was more than an hour away and we were with our three-year-old toddler, we decided to wait by having a coffee and letting our child use the …"
GoogleMaps,Alice Springs Desert Park,"Lovely park, thought out very well with the beautiful MacDonnell ranges providing a stunning backdrop. The flying bird show is wonderful. All the staff are friendly and informative. Definitely worth a couple of hours visit"
GoogleMaps,Alice Springs Desert Park,"It's nice to visit. The landscape, plants and flowers are beautiful. Animals are very well looked after. There is a little playground for kids next to the Café, which is a big bonus point."
GoogleMaps,Alice Springs Desert Park,We went on a very cold winter day and still had a blast. My three year old loooovvvedd the nocturnal house and exploring the exhibitions. The cafe was closed but luckily we brought our own. It was really lovely to sit in the beautiful park as we enjoyed our food. A must visit when in Alice.
GoogleMaps,Alice Springs Desert Park,This continues to be a highlight of any trip to Alice. I’ve been there many times: the first time in its embryonic stages. But every time I visit it’s through new eyes. …
GoogleMaps,Alice Springs Desert Park,We had a short afternoon visit and managed to get a few exibits in. Guides were friendly and knowledgeable. We particularly liked the bush tucker session. …
GoogleMaps,Alice Springs Desert Park,"Had a great time at Desert Park. The guides and staff were all wonderful and very knowledgable. The bird show in particular was a real highlight! Lunch at the cafe was excellent too, offering a range of delicious toasties made with high quality fresh ingredients."
GoogleMaps,Alice Springs Desert Park,"Nice open park that makes it feel like you're just out in nature. The view of the ranges is excellent. Loved the bird show, got to see wild birds up close as the flew past and over you. You could see the friendship and trust between animal and trainer, the was nothing forced. Cute gift shop with decent variety."
GoogleMaps,Alice Springs Desert Park,"Heaps of different kinds of birds to see, lots of nocturnal animals and the talks that run all day across many subjects including, Indigenous people's surviving in the dessert to a live bird show, were outstanding and are all included into …"
GoogleMaps,Alice Springs Desert Park,"A great experience despite the hot temperatures! Why? The first time in my life I could see ""Baby Thorny Devils""!!!! There were two of them a b l u e one and a b l a c k one. So tiny and cute!!! Come and see before they grow up!"
GoogleMaps,Alice Springs Desert Park,"Large park, well landscaped. The bird show was fun to watch. Recommend to sit at either top corner."
GoogleMaps,Alice Springs Desert Park,"We were welcomed by Reuben at the entrance. He is very informative and passionate about flora, fauna and fire. The park is beautiful and well worth the visit. We learnt so much about the desert and the history of Alice Springs and Mac …"
GoogleMaps,Alice Springs Desert Park,"Parks like this around the world might seem to be ten a penny. (They're not) Don't let that thought put you off, this park certainly breaks that idea wide open and puts many, many others into the shade. …"
GoogleMaps,Alice Springs Desert Park,Being here in the wet season and post covid dooesnt help. We went here in march. It was a hot day. Make sure you use sunscreen hat and some insect repellant as there is plenty of walking like other zoos. We watched a video on the earths …
GoogleMaps,Alice Springs Desert Park,"Amazing experience, definitely worth the visit! Beautiful birds and animals, lovely people, a once in a lifetime experience! Thankyou Rueben for your entertainment and knowledge, what a wonderful day we had!"
GoogleMaps,Alice Springs Desert Park,"Wonderful park, probably the best wildlife park I have ever been to. Quite expensive but worth the money for anyone wanting to see a wide range of wildlife. The birds outside the exhibits were just as good as those in them! Helpful staff and cute gift shop. Really terrific day."
GoogleMaps,Alice Springs Desert Park,"Visited the Desert Park during the day to see the live show , well worth seeing and you can do a photoshoot with the birds of prey. Lots of local bird and plant life on show and the guide was very informative. The feeling of the importance …"
GoogleMaps,Alice Springs Desert Park,"Excellent nature park - great walk through exhibits. Water bubblers/fountains dotted throughout the park. Daily ‘encounters’ with animals on offer. If you’re a member of the Territory Wildlife Park in Darwin, you get free entry (and vice versa)."
GoogleMaps,Alice Springs Desert Park,"I love this place. Definitely worth a day. On this Alice visit I did full day and then the nocturnal tour, including morning and afternoon bird show. Just stunning."
GoogleMaps,Alice Springs Desert Park,"Wonderful experience especially the birds of prey and how they all survive in their natural habitat. The plants and trees are beautiful,staff very informative and helpful"
GoogleMaps,Alice Springs Desert Park,"Wonderful place. Stunning walks, beautiful animals. Amazing talk about how the Arrernte people survived in the desert."
GoogleMaps,Alice Springs Desert Park,"Everything is well presented. The Birds of Prey presentation could have less talking and more of the sighting of the beautiful birds, whom 90% of people come to see more than anything else. But it was an enjoyable day."
GoogleMaps,Alice Springs Desert Park,"Great experience and cool views and scenerys. There are also bird cage areas when you can look at birds through glass. There is also a bird cage that you can walk through, the birds flying around you is a great experience. A nocturnal …"
GoogleMaps,Alice Springs Desert Park,"Great experience when nothing to do in Alice on such a hot day. Lots to see! Our guide, Greg, was brilliant; So forthcoming and passionate in explaining the animals habits and behaviour as well as having a great knowledge of the medicinal …"
GoogleMaps,Alice Springs Desert Park,One of the best things to do in Alice Springs. Stunningly beautiful sanctuary with THE BEST nocturnal house I have seen anywhere. Well worth a visit!!!
GoogleMaps,Alice Springs Desert Park,"Was great but don't go in summer friendly staff,great displays and bird show"
GoogleMaps,Alice Springs Desert Park,"We had our first off train tour at Alice Springs Desert Park. Wow, the guides were fabulous and very informative, Jeremy was our Indigenous guide, he showed us some of their bush remedies from local plants."
GoogleMaps,Alice Springs Desert Park,Well worth the visit. We thought it would fill a couple of hours but not difficult to spend 5 or more hours. The exhibits are informative. Wear a hat and sunscreen. The nocturnal house is a must.
GoogleMaps,Alice Springs Desert Park,"You'll have one of a kind experience here. You'll get to enjoy the mountain view, see various animals, flora and bird show. If you have more time, you gotta watch in the cinema. The ending was simply dramatic. Have fun!"
GoogleMaps,Alice Springs Desert Park,For a group tour arrival there should be someone to do a walk around to talk about the places and themes of interest independent to the theme park timings. Afternoon show of the birds at 3pm was excellent for a short presentation.
GoogleMaps,Alice Springs Desert Park,"If you are in Alice on holidays this is a great place to see many different as pets of the flora and fauna of the Australian outback. Great Ranger, talks and displays. Disappointing there is no cafe, after walking the 6 kms from town to visit."
GoogleMaps,Alice Springs Desert Park,"Opening in 1997, the park covers 1,300 hectares of land seven kilometres west of the Alice Springs town centre. With a core area of 54 hectares the park presents and interprets the Australian desert environment and, its inhabitants while contributing to the conservation of Australia's desert flora and fauna."
GoogleMaps,Alice Springs Desert Park,"Great for me and kids, learnt so much . Make a day of it and take picnic, you will need at least three hours to see most things, more better for so much little and big kids to interact with, the talks are great too."
GoogleMaps,Alice Springs Desert Park,"Nice place to spend the afternoon or even the day. Several guided talks are available at specific times, so if you want to catch some or all of them get a desert park timetable from the information centre before you go."
GoogleMaps,Alice Springs Desert Park,Must see attraction when visiting Alice Springs. The concept was brilliant and the input of the indigenous people has been well received and enhances the experience. Beautiful Park and beautiful people working there.
GoogleMaps,Alice Springs Desert Park,Best place to visit when in Alice Springs. Staff were amazing. Bird show was spectacular. …
GoogleMaps,Alice Springs Desert Park,This place is a must visit if in Alice Springs So natural. Just like walking through a real desert Lots of wildlife to see
GoogleMaps,Alice Springs Desert Park,Great wildlife shows. Survival in the desert presentation worth listening carefully to. We spent 5 hours there wandering around. Cafe on site or bring your own lunch.
GoogleMaps,Alice Springs Desert Park,Great morning out with the family. The park is well set out and easy to get around. The new playground for the kids is a fun new feature since we first came. Extra value for Territorians because if you head to Darwin you'll get to go to the Territory Wildlife Park for free with the same pass! Definitely worth a look.
GoogleMaps,Alice Springs Desert Park,The Nocturnal Tour was very good starting at 7.30 with about 30 attendees split into 2 groups. Head torches were supplied. …
GoogleMaps,Alice Springs Desert Park,"Great wildlife park. We got there in the morning about 8.15, and didn't leave till 3.00. We have 3 kids (10, 14, 15yrs) and we all had a great day. The aviaries are terrific, and the Nocturnal House was amazing. The talks and shows were …"
GoogleMaps,Alice Springs Desert Park,"Absolutely loved it, a must visit and the nocturnal display is one of the biggest I’ve seen in Aus."
GoogleMaps,Alice Springs Desert Park,Had a great time here. The animals have plenty of space and everyone is really educated and nice.
GoogleMaps,Alice Springs Desert Park,"Got there at noon, had lovely lunch, Gluten free diets catered for, so yummy, and then straight to the 1pm nocturnal tour/talk. Very informative and saw most of the animals there. Then to the surviving in the desert talk, so interesting and …"
GoogleMaps,Alice Springs Desert Park,Best park in Alice Springs for Australian animals birds reptiles plants and natural landscapes.
GoogleMaps,Alice Springs Desert Park,"We loved seeing all the birds, reptiles, and birds. It was great to learn about the plants as well."
GoogleMaps,Alice Springs Desert Park,We attended bird show very good close up to flying birds in a beautiful setting well laid out natural reserve with a variety of Australian animals
GoogleMaps,Alice Springs Desert Park,"This is place is wonderful. If you go here be sure not to miss the Nature Theatre free flying bird show and the nocturnal house. It is spacious and there is a playground for kids, a small one with novelty size desert animals. It is a bit of …"
GoogleMaps,Alice Springs Desert Park,Simply awesome. Seriously must visit. Do first thing in the morning. You could feel they are genuine about the animals and have a great knowledge base. The nocturnal house is by far the best I have seen.
GoogleMaps,Alice Springs Desert Park,If you have a chance to go to Australia you need to see Alice Springs. And especially the kangaroo sanctuary. I've been all over the world and this is a place I should have visited first.
GoogleMaps,Alice Springs Desert Park,"A solid educational experience. The variety of native plants and animals gives a good overview of Australia’s desert ecosystems. I particularly enjoyed the nocturnal house and the live bird show. While it’s not a large park, the information …"
GoogleMaps,Alice Springs Desert Park,Fantastic bird show and well designed bird aviary and very detail and interesting presentation. We had so much fun.
GoogleMaps,Alice Springs Desert Park,"Amazing! You can see so many animals, including being absolutely surrounded by all sorts of birds. The bird show was also fantastic. Bonus amazing landscape."
GoogleMaps,Alice Springs Desert Park,Fantastic tourist spot. Greatly enjoyed the cinema presentation. Lionel's Survival presentation was excellent and very informative. He is wonderful to listen to. Loved seeing the Diego's. And the staff in the center were very …
GoogleMaps,Alice Springs Desert Park,"An amazing gem right on the edge of Alice Springs. Lots to see for all ages, highly recommend the nocturnal building and talk and definitely don’t miss the bird show. Place is pristine, staff informative and helpful."
GoogleMaps,Alice Springs Desert Park,"When I went alot of enclosures were empty so a hot walk in the beating sun and very little to see especially outside, the staff were friendly, entry prices are a little high, but you can get a local pass. Which saves you alot if you are a …"
GoogleMaps,Alice Springs Desert Park,Definitely go there if you are in alice spring. Reception guy is so nice. We went there first day afternoon and the staff suggested we come back the 2nd morning as we missed the last free flying show. And we went again next day. The free bird flying session is amazing.
GoogleMaps,Alice Springs Desert Park,"Very friendly staff, plenty of staff around always happy to answer any questions or give small un planned tours the family price was forgiving for our large family. The paths were easy to navigate with only some small hills we attended for just over 2 hours but could nearly spend all day here"
GoogleMaps,Alice Springs Desert Park,My husband and had a sensational day and night. All the enclosures were so spacious and it was wonderful to observe the various wild life surrounded by their natural habitat. The presentations were very informative and entertaining … the …
GoogleMaps,Alice Springs Desert Park,"We had a guided tour here which was part of our holiday package, the guide was very informative and the bird show was very well done how they managed to train the birds is quite something."
GoogleMaps,Alice Springs Desert Park,"Great park with lots of interesting animals and plants, as well as great presentations to watch."
GoogleMaps,Alice Springs Desert Park,"Amazing park to go with children! A lot to explore and see. There is Entry fee, but it worth it. The birds show is amazing! Must go 👍😊🐦 …"
GoogleMaps,Alice Springs Desert Park,This an excellent place to visit. The kids would definitely have a great time. Pity the cafe wasn't open. The bird show is definitely a must see.
GoogleMaps,Alice Springs Desert Park,What a wonderful nature park with great walks and talks. Plenty of Birdlife.
GoogleMaps,Alice Springs Desert Park,Fantastic place to learn about some of the flora and fauna of Australia. The animals are healthy and well tended. Great for getting out of the heat and learning. Highly recommended!
GoogleMaps,Alice Springs Desert Park,Well organised with very good exhibits. Very good wildlife displays. Great photo opportunities.
GoogleMaps,Alice Springs Desert Park,"Wow. Exceeded expectations, it was worth the price. Spent 4 hours there and Jeremy’s talk on native medicine was very interesting. Lots of beautiful birds and wildlife."
GoogleMaps,Alice Springs Desert Park,Did the Nocturnal tour and it was amazing. Informative and a chance to see the Nocturnal animals at play. Included delicious snacks and drinks.
GoogleMaps,Alice Springs Desert Park,Great way to see native Australian animals in an environment similar to their own. Beautiful display of nocturnal animals and great birds of prey show.
GoogleMaps,Alice Springs Desert Park,Fantastic experience for all ages. Bird show is a real highlight. Guides are very knowledgeable and friendly.
GoogleMaps,Alice Springs Desert Park,"Perfect weather for the park today, about 23 degrees. Lovely layout and beautifully maintained in a naturalistic way though possibly more perfect than out in the wild."
GoogleMaps,Alice Springs Desert Park,The nocturnal house is the highlight here. Lots of desert animals that you don't normally see during daylight hours …
GoogleMaps,Alice Springs Desert Park,"A nice place to visit, you can see different animals, make sure that you arrive on time to see the birds show."
GoogleMaps,Alice Springs Desert Park,Engaging and informative talks. Beautiful natural environment. Highly recommend visiting!
GoogleMaps,Alice Springs Desert Park,Save 25% buy tickets from the vistor centre. Place could use some work waited for the bird show and it says gates open at 10 no one showed up till 10.15am and we were worried we were going to miss the show if you have a sign out stick to …
GoogleMaps,Alice Springs Desert Park,"A great place for those looking to experience the Australian desert up close. The park features a variety of walking trails, and the information provided about the desert’s ecosystem is both comprehensive and enlightening. The nocturnal …"
GoogleMaps,Alice Springs Desert Park,The nocturnal house was amazing! Pity the eagle went walkabout half way through the show 🦅😂 …
GoogleMaps,Alice Springs Desert Park,Great fun with the kids
GoogleMaps,Alice Springs Desert Park,"Highly recommended! The Desert Park is well laid out, beautifully presented and very educational. The guides are informed and passionate about what they do. Special mention to Renata for her talk on Aboriginal culture, food, medicine and …"
GoogleMaps,Alice Springs Desert Park,Really interesting and well-laid out park featuring indigenous animals and plants. Interesting talks from rangers. Good cafe. Need a taxi from town if you do not have your own transport
GoogleMaps,Alice Springs Desert Park,"I really enjoyed the Desert Park it was very imformative . The bird show was just awesome, as must see it worth it"
GoogleMaps,Alice Springs Desert Park,I didn't expect much from this but was happily surprised. Lots of interesting spots at the base of the McDonnell Range. We saw a couple of fascinating demos... one on aboriginal lifestyle and the other on native birds. Well worth you time.
GoogleMaps,Alice Springs Desert Park,Great trek for the willing tourist. I recommend that you check your fitness level and the temperature before you get started.
GoogleMaps,Alice Springs Desert Park,What an amazing place. It is well worth the trip to go. There is so much variety to be seen and taken in.
GoogleMaps,Alice Springs Desert Park,"I was a little reluctant to pay the high entrance fee, but glad I did. What a magical experience, especially the live theater! The night room really feels like yiu are walking in the desert at night. So great to learn about the outback animals too. Awesome staff!"
GoogleMaps,Alice Springs Desert Park,"Great day out with the kids. Lots of insects, birds and reptiles (watched a long nose dragon hunting)...and that's just on the walk between enclosures and talks. Talks and bird show very good but for kids any younger than 5/6 and who might …"
GoogleMaps,Alice Springs Desert Park,"Our Alice Springs adventure day trip included a trip to the Desert park. So beautiful our guide was an Aboriginal gentleman he was fantastic, telling real life stories and history. So much to see and enjoy."
GoogleMaps,Alice Springs Desert Park,"My first time here was for the Light Show. Wonderful, magical experience. The auditorium kind of area by the centres look great too, seem very inviting and friendly - good sense of community :)"
GoogleMaps,Alice Springs Desert Park,World class flora and fauna experience in the stunning backdrop of Alice Springs. The 3pm bird show was fun and thrilling.. the family was very happy spending the next few hours learning about and walking around the different habitats. Don't miss the Nocturnal house and aviaries! The website was very useful too.
GoogleMaps,Alice Springs Desert Park,"It,s a must see place and the bird show was brilliant."
GoogleMaps,Alice Springs Desert Park,"Awesome place...must be there before 9:30 to watch amazing bird, eagle show"
GoogleMaps,Alice Springs Desert Park,"We did night tour, it was very imformative, well worth it"
GoogleMaps,Alice Springs Desert Park,"A really interesting park. We had a limited 4hr visit between 8.30am - 12.30.. but could have spent a lot longer here, as they have a programme of events throughout the day until 3pm (ish) and you can also do nocturnal visits separately …"
GoogleMaps,Alice Springs Desert Park,"The park is beautiful and set amongst native flora. The park is only small, so I'd recommend checking when their daily guide talks are on, and schedule to arrive before a talk you're interested in, so you're not having to wait around for a long time to see/hear their talk."
GoogleMaps,Alice Springs Desert Park,"Beautiful place that showcases the flora andxfauna of central Australia. Great birdlife, amazing bird show!"
GoogleMaps,Alice Springs Desert Park,"A fantastic place to wander through and see the many systems that make up the desert, great information, many species of birds in the aviarys with many getting ready to build nests. The nocturnal house is excellent and the cafe has a good choice of tasty food at the end of the walks."
GoogleMaps,Alice Springs Desert Park,"Set with the backdrop of the West Macdonnell Ranges this park gives you an insight into life in the desert around Alice Springs, its hot dry and unforgiving if you find your way to Alice Springs its worth going to see this park there is a …"
GoogleMaps,Alice Springs Desert Park,"Up from Melbourne visiting family. First time here at the Desert Park and can say hands down, THIS IS THE BEST ATTRACTION IN CENTRAL AUSTRALIA NEXT TO ULURU!!! …"
GoogleMaps,Alice Springs Desert Park,Very well run park with great bird show and nocturnal house.
GoogleMaps,Alice Springs Desert Park,"Fantastic. Get there early, before 8:45, to get the best experience. The bird show and the nocturnal house are excellent"
GoogleMaps,Alice Springs Desert Park,This was the highlight of a trip already filled with amazing things. The setup. The exhibits. The information presented in such an understandable way. The staff. The food the coffee. The experience - all of it world class. The wild life and …
GoogleMaps,Alice Springs Desert Park,Lovely place to walk through amd listen to the birds inside and outside the enclosures. Lots of wildflowers. Expensive at $37each so make sure you have.enough to appreciate everything.
GoogleMaps,Alice Springs Desert Park,The night tour was fabulous as we got to see lots of animals we would not otherwise have seen. During the day they have a really good Nocturnal House and Birds of Prey Show.
GoogleMaps,Alice Springs Desert Park,"The dessert park is awesome, beautifully showcases our native flora and fauna. The facilities are fantastic"
GoogleMaps,Alice Springs Desert Park,"One of the best, most interesting parks we’ve been to! Our family of five (2 adults, 3 kids) loved our full day at the park. Jeremy was a wonderful, interesting, and very informative tour guide! We took almost all of the tours at the park …"
GoogleMaps,Alice Springs Desert Park,This is a really cool place to visit! I got to see lots of animals. Would highly recommend. The birds of prey were especially amazing. I got to have a photo taken with Rory the wedge tailed eagle. 🦅 👏 …
GoogleMaps,Alice Springs Desert Park,"Excellent place to spend a half to full day enjoying the area. Fantastic bird show, amazing walk-in natural style aviaries with a huge number of beautiful birds. We also enjoyed the Survival in the desert presentation by local host Jeremy. The nocturnal house was very good. Recommended visit especially for bird watchers."
GoogleMaps,Alice Springs Desert Park,Absolutely fantastic place for a family outing. We loved every moment.
GoogleMaps,Alice Springs Desert Park,Loved our time here! The Nocturnal exhibition is incredible
GoogleMaps,Alice Springs Desert Park,Loved it.What a well designed Park.Something for everybody. Well done.
GoogleMaps,Alice Springs Desert Park,An absolutely amazing park wear your walking shoes and take a bottle of water the nocturnal house is magical
