source,place,comment
TripAdvisor,Uluru-Kata Tjuta,"Sunset viewing: Tips: - Go 45mn/1h prior to the sunset time as it gets pretty crowded. This way you choose your spot to park the car and have the best view. - Bring your flynets for flies (you can buy them anywhere in the Yulara shops or even your hotel reception). - If it is cloudy you won't see much of the ""colour changes"" or it being red, as the sun won't reflect on the rock. We didn't see it, but during the day it was perfect anyway! I loved Uluru."
TripAdvisor,Uluru-Kata Tjuta,Unquestionably a must do experience. Researching the weather might be a good idea though because at over 43 degrees celsius it was toasty even first thing in the morning or just before sunset. Incredible history and culture. The colours of the rock as the light changes are magnificent.
TripAdvisor,Uluru-Kata Tjuta,We did the sunrise tour which was fine but the real joy was walking around Uluru. The watering holes were stunning. Seeing the cave paintings up close was amazing. The appearance of the rock is so different close up.
TripAdvisor,Uluru-Kata Tjuta,"This was my 5th trip to the rock, my wife's 3rd, our friends 2nd and his wife's 1st. It was lovely seeing the reactions on their faces. My friend hadn't been for 45years and his wife was mesmerized This is a special place, spiritual for aboriginal peoples and you can feel it too. The immense size of the single rock is awesome. You need to see a sunset at least, the changes it goes through are beautiful. We found the sunrise not as good. We also walked one of the tracks around the base in a rainy drizzle which wasn't too bad as it was cooler and no flies. Apparently 2 weeks after we left they had the record rainfall ever. The waterfalls would have been something to see."
TripAdvisor,Uluru-Kata Tjuta,"Mum and I came here last year and are both so glad that we did. Uluru is something that every Australian MUST see at least once in their lifetime. We did the 10 kilometre base walk around Uluru. If you are planning on doing the base walk, it is important that you go either early morning at sunrise or sunset, it is not safe to do it in the middle of the day as it gets extremely hot and there is no shade. Also make sure you pack plenty of water and Gatorade as well as wear appropriate clothing (information on appropriate clothing in “Tips”) to avoid dehydration, heat exhaustion and heat stroke. When we arrived at Uluru, I was at a loss for words, the rock is huge and just feels so magical. They say the rock changes colour throughout the day and I can confirm that is 100% true, I could see Uluru as we entered the park by the bus and it looked purple but by the time we actually arrived at the rock it was bright orange. Uluru There are certain parts of Uluru that you cannot photograph, these places are clearly marked with signs asking that you not take photographs, this is around the north - east face of Uluru. The reason for this is that the rock details and features at these sites are equivalent to sacred scripture for the Anangu - they describe culturally important information that should only be viewed in their original location and by specific people. Throughout the walk, there are emergency phones and seats with wooden shelters over them should you become ill or injured and require help. About 9 km’s into the walk, I began to suffer from heat exhaustion, luckily for me it was only very mild and I recovered quickly and was able to finish the walk but do be mindful that heat exhaustion is a possibility on this walk."
TripAdvisor,Uluru-Kata Tjuta,Cannot describe in words how beautiful this part of the country is. I had been before about 15 years ago and the difference between then and now is polarizing in the best way. I learned more about culture and history on this visit than on any other tour I have been on. The Uluru-Kata Tjuta National Park is well maintained and the facilities dotted around the park are great. Do not miss going to this national park.
TripAdvisor,Uluru-Kata Tjuta,We had a guided tour which was so informative. I have been here before and hope to come again. Every time I come I learn more. It is a significant and special place. It is a sacred place. It is an awesome natural attraction. Well worth a visit from sunrise to sunset. Feel encouraged to learn the respect this site deserves and is expected.
TripAdvisor,Uluru-Kata Tjuta,"It would be hard to give Ayer's Rock anything less than five stars. It's visually stunning, and the colours change over the day, particularly at sunset. From a distance it looks like one big smooth rock, but close up reveals it to be more complex than that. Photography is not allowed from one side of the rock, but most other places you're OK. There is something very special about the place, but it's very hard to define that unless you've actually been there."
TripAdvisor,Uluru-Kata Tjuta,"Uluru is a definite must see & do! Brilliant informative guides and lots of short trips around Yalara, the surrounding areas and heaps of sightseeing activities. So much to do and see. An absolutely amazing place!"
TripAdvisor,Uluru-Kata Tjuta,"Did the short walk Kantju gorge walk from Mala car park, and that was really nice. Great signage to explain some of the uses of the site by First Nations. Made the mistake to assume the 10km base walk would be as good, and was quite disappointed. For a large section of track, the walk is quite far away, and no better than the road. If I were advising a friend, I would say to do the Kantju gorge walk, and then loop around Uluru by car, and it would be a similar but more pleasant experience. Then go do the Valley of the Winds track at Kata Tjuṯa for a more stimulating and enjoyable walk."
TripAdvisor,Uluru-Kata Tjuta,"Seems silly to review a very large rock. But seeing it for the first time, rising from the flat plains and then standing in front of it, having seen it for years on tv, films and photos was breathtaking. The changes of colour as the day passes were what I found most surprising,"
TripAdvisor,Uluru-Kata Tjuta,"A fantastic way to explore the beauty of Ayers Rock and Kings Canyon in luxury tents. Our guide Lachie was fantastic. He's passionate, very well knowledged and a very good chef!! Thanks, Lachie!!"
TripAdvisor,Uluru-Kata Tjuta,What a majestic place. A must visit for every Australian. It is so different to our cites. Plenty of facilities available.
TripAdvisor,Uluru-Kata Tjuta,Tour by SEIT small group ..breakfast and knowledgeable commentary...great opportunities to get photos. James and Trent had great connection to country and so willing to teach others
TripAdvisor,Uluru-Kata Tjuta,"Amazing experience, especially with a guide to tell you about the history of Uluru and Aboriginal culture associated with it. I loved seeing the stories match up to the indentations in the rock. Segways are my new BFF! So easy to use."
TripAdvisor,Uluru-Kata Tjuta,A wonderful place and a must see. Loose yourself in its beauty. It is just the most fabulous rock to walk around. Caves and cave art. Waterhole and some water running down the rock. So much to read and learn on the way around. Take plenty of water.
TripAdvisor,Uluru-Kata Tjuta,"Just wanted to let people know that if you are planning on using the hop on hop off transport to Uluru recommend booking in advance. Don’t know if like this all the time but we flew here from Cairns, hadn’t booked anything and then when we went to get ticket to just do the walk ourselves there were zero available for the next 3 days. You can’t get to Uluru unless part of a tour (none available on this either), use the hop on hop off, have car/transport. Limited hire cars, most already gone but did manage to get a hertz at the resort - available in 2 days time - also high demand. Given mostly people come to actually visit Uluru and do a walk around this is pretty important to know. We are also doing a couple of the experiences although none of these would have had us actually at Uluru. Feeling lucky that we ended up with a car so we still can go."
TripAdvisor,Uluru-Kata Tjuta,"The most beautiful place in Australia, if you ever have a chance to go you must. Should be on everyones bucket list in my opinion . Should be the face of our nation because of the cultural significance to Indigenous Australians, It's location in the heart of Australia's outback and the sheer beauty of it makes it for me the most iconic place in Australia. If you go, view the sunset at the sunset strip, complete the walk around and be respectful of the signs that ask for no photos and please try to visit the Uluru-Kata Tjuta Cultural Centre in order to learn more about Anangu Culture. If you are on holiday in Australia or live here, try make an attempt to see this cultural icon, Its geographical location makes it difficult for most if not all to make the trip, but trust me its worth the hassle!"
TripAdvisor,Uluru-Kata Tjuta,"I wasnt going to bother writing a review as there as so many but maybe I can help someone. We had a rental car, so had flexibility. If you have a vehicle, dont waste your money on tours. Get to the Rock carpark by 8am and you will miss the crowds. I walked around Uluru, taking in the side trips. It took me two hours. About 2/3 of the way around I started to come across groups of bikers, walkers and the worst, Segways. I had the track to myself for most of it. When I got back to the carpark, it was packed. The cultural centre was average but still worth a look. You can get a coffee at the cafe there. Enjoy your trip as this is a must see."
TripAdvisor,Uluru-Kata Tjuta,"We tried to get into various tours but had left it too late as it was a last minute trip decision. So…. We walked and drove around Uluru with the Uluru audio guide and it was brilliant. We shared a set of ear buds and as we approached an area of interest or drove near vegetation etc e would hear stories and learn facts about culture, climate, European influence and history. We walked past so many people who could only read the signs and had no idea what they were looking at or walking past. Really really enjoyed it!"
TripAdvisor,Uluru-Kata Tjuta,Amazing! highly recommend makes you question your significance went in the morning to avoid heat that color! absolutely gorgeous. Not really near anything however.
TripAdvisor,Uluru-Kata Tjuta,This is a must do in your lifetime. Uluṟu is a magical place to visit. It looms out of nowhere as a majestically wonder of the world. Walking is relatively easy but be prepared with fly nets and water. I have a disability but was able to have a wheelchair around the Lungkata walk. I would highly recommend you purchase the app so that you get a commentary of all the sites. It was great.
TripAdvisor,Uluru-Kata Tjuta,I was only twenty years old when I decided to travel to Australia. It was the most intensive experience I have ever had. There wasn't internet no smart phones so the picture I'll upload were made with old fashioned cameras. The place is just magic.
TripAdvisor,Uluru-Kata Tjuta,"Who hasn't seen Uluru a thousand times on TV shows, in films & photos? It's iconic & world famous & you think you know it until you actually get there & see it with your own eyes! We were lucky enough to be on a tour that did both a sunset viewing & a sunrise viewing as well as a walk around part of the base in the daytime, so we got to see lots of different aspects of 'the rock' at different times of the day. Yes, when all is said & done, it is just 'a big ole rock in the middle of nowhere', but wow, what a sight it is. There was something purely magical about sipping prosecco while waiting for the sun to set. Up at 4am to see the sun rise with a cup of hot tea but we didn't expect it to be quite so chilly (wrap up warm if you're doing a sunrise tour!!) It was very crowded on both occasions as you'd expect, with plenty of indigenous peoples selling paintings. Respect the land, respect the people who the land belongs to & enjoy this natural wonder with joy in your heart."
TripAdvisor,Uluru-Kata Tjuta,We flew into Ayers Rock airport to visit Uluru and Kata Tjuta National Park. We stayed for 4 days with a mix of guided tours and car hire. I recommend both as the tours give you an educational experience and the car hire gave us the freedom to visit Uluru when we wished.
TripAdvisor,Uluru-Kata Tjuta,Finally had the chance to knock Uluru off the bucket list. It is just incredible and fascinating to see. The sunset view are an absolute must. It adds color and detail to the rock that you don’t see during day time.
TripAdvisor,Uluru-Kata Tjuta,This is why you’re here. The park pass is $38 for 3 days of access. Each day brings something different and it is the best thing you can do from Yulara. Amazing to see first hand and you could never get sick of things to see. A beautifully managed park.
TripAdvisor,Uluru-Kata Tjuta,Simply stunning. We stayed at Ayres Rock Resort for 3 nights and went on the Sacred Sites and Sunset Tour which I’ll probably review separately (both). There’s nothing more I can say about Uluru itself other than everyone should experience coming here at least once in their lifetime.
TripAdvisor,Uluru-Kata Tjuta,"Australia's most famous landmark is located in central Australia about a 2.5 hour plane ride from Darwin. If you have the time, this is a must see UNESCO site for singles, couples, and families. The half a billion old sandstone Rock arises dramatically from the surrounding desert. the structure stands 348 meters tall and is 9.4 km in circumference. The Rock is a spectacular panorama, but for a surreal experience drive up close to the Rock's base. Climbing to the top along a designated pathway was a popular experience until 2019 when access to the pathway was permanently closed sadly because of damage caused by a few tourists and a few deaths climbing the steep pathway. The best views area generally at sunrise and sunset but anytime is good. There is a small charge for entrance into the park. No camping is allowed but there are a number of nice hotels and other accommodations available in the local area."
TripAdvisor,Uluru-Kata Tjuta,No trip to Australia would be complete without a visit to Uluru. This is the single most iconic view in the country. Take your tome and walk the allowable trails that lead to the rock. Try to get a guided tour so you know the significance of what you are seeing.
TripAdvisor,Uluru-Kata Tjuta,"We did an AAT Uluru Sacred Sites and sunset tour which would highly recommend. Our young tour guide ( Jess) and driver ( Jess) were very knowledgeable about the area,customs and stories. I certainly learnt a lot about the Australian Indigenous culture that I did not know! The sunset over Uluru was spectacular!!"
TripAdvisor,Uluru-Kata Tjuta,"Australia's red rock in the centre, awesome experience seeing this magnificent rock in sun set an sun rise. We did the base walk trail right after sun seeing the sunrise. It's a complete different experience walking close to this enormous rock. It has something magic this big red rock"
TripAdvisor,Uluru-Kata Tjuta,"I've always wanted to see this since as long as I can remember. I took my husband and 2 boys (3 & 5). I was actually excited, it's a place that is so calm, relaxed and at the time there were hardly any people there around 2:30pm. We only did a small walk with young kids. However, we could have spent the day there. So many stories along the trails and is well looked after. It does cost $ 39 per adult to get into the park, I do suggest booking online, plus you will need a Parks pass, which is about $10 per adult. The colour is stunning, the surrounds are fantastic. Only downer us that if you wish to get a souvenir, they are only open 10-2pm. There is beautiful aboriginal art galleries close by aswell, these do come with a hefty price tag. We will return again, definitely something I won't be doing just once! Approx 5 and a half hours from Alice Springs."
TripAdvisor,Uluru-Kata Tjuta,I recently visited Uluru with my grown-up son for a 3 day stay. As he was on a budget we chose our activities carefully. First of all we stayed at the Emu Walk apartments so that we could self cater and this worked well. There's an IGA in the nearby town square which had most things. I had pre-purchased our 3 day park pass and had a paper copy to show whenever we took a tour. We visited the Field of Lights on our 1st evening and that worked well. It was just enough to do after an early start to catch our flights to Uluru. We also bought a 1 day pass for the Hop on hop off bus and this also worked really well. Neither of us were fussed about seeing the rock at sunrise so opted for the 8.35 am bus instead. We got off at the Kuniya carpark and walked to the Mala carpark before heading off for the cultural centre where we caught the bus back at lunchtime. We then caught the bus again later in the afternoon to see the sunset. The next day my son went on the Seit tour to Kata Tjuta which he really liked and then we did the Cosmos Astro tour in the evening. The night sky is just amazing and seeing Jupiter and Saturn through a telescope was a rare treat. On our second evening we ate at the Arnguli restaurant as a treat and the food was delicious. We loved that they used bush spices in all of their dishes. I think we were both happy with our choice of activities and my son was super pleased that the trip had not blown his budget.
TripAdvisor,Uluru-Kata Tjuta,"It's truly inspiring, however it does need maintenance around a lot of areas. Especially around the outdoor shade and seating areas. Staff in the cafe area were very friendly and helpful considering how under staffed they were. Still highly recommend visiting at least once in your lifetime"
TripAdvisor,Uluru-Kata Tjuta,"Its shape is so well known that there is a chance seeing it form a distance for the first time will be an anti-climax. However, travel to its base and see its features close up to fully appreciate both its enormity and its weathered texture. Some sides of the rock are sign-posted as sacred according to aboriginal culture and photos are banned, but unless there is a ranger around (unlikely), the policy is unenforceable. People say that the rock's colours change as the sun rises and sets. We attended the latter and witnessed no discernable change. There are many events held around the rock at sunrise and sunset. We attended two: Field of Light at sunset (Poor, see separate review) and Sounds of Silence (OK, see separate review)."
TripAdvisor,Uluru-Kata Tjuta,"Our flight was delayed by three hours, giving us time to study the land we hoped to visit and learn more about the Aboriginal culture, life, myths, and magic embodied in an ancient place called Uluru. The rock is considered the oldest, dating over 500 million years. As we made our first trip to view the sunset, we could see this monolithic masterpiece in the distance, undeniably the crowning masterpiece in our great land. The closer the view, (approximately 15-20 kilometres from the sunset viewing platform), the colour kept on changing rapidly. The height of the rock is 350 metres, the length is 2.8 kilometres with a perimeter of 10.5 kilometres, As we had our eyes glued on the massive structure, all I could say was, this is breathtakingly beautiful! A few aboriginal words of welcome! Palya! Welcome to the Anangu land-Pukulpa pitjam Ananguku ngurakutu!! Watching the sunset at Uluru is one of the most memorable events one will experience in a lifetime, as it takes it to a whole new level. The vastness of the desolate desert and the ever-changing rock texture offers an experience second to none. One will observe the rock changing from a dark brown, to a vibrant orange, and then a flaming red colour. Never has the morning been so rewarding! The temperature dipped to 3 degrees. We were awake before dawn and travelled to the cultural centre for information and a light breakfast. The The Uluru base walk commenced in basking sunshine whilst being attacked from all sides by flies. They are relentless in their approach, and the fly nets are the only defence. We decided on the Uluru base walk since it is the best way to fully appreciate the natural and cultural beauty of Uluru (10.8 kilometres) at 2:00 pm, and a brisk walk would return us to the start by 5:30 pm to view the Kata Tjuta sunset."
TripAdvisor,Uluru-Kata Tjuta,Great trip and day and a fantastic guide thankyou Mon greatly appreciated it was a a day we both enjoyed
TripAdvisor,Uluru-Kata Tjuta,"Awesome day trip. Long hours on coach, but we were prepared for it. Paid extra for front seats on the coach - well worth it. Great guide around Uluru, great views, especially at sunset - took so many photios."
TripAdvisor,Uluru-Kata Tjuta,WOW. I simply cannot get enough of this beautiful masterpiece. I could look at her all day. Different in every kind of light. To experience just visit. Make sure you do the sunrise experience. You need to purchase a permit to enter the grounds about $35 an adult for 3 days. A number of tracks to explore to savour her beauty. Make sure you do one of the dinner events and field of lights. Simply breath taking
